状元茶	配方	冰糖６０克
双江条鳅	分布区域	云南双江县的小黑江，属澜沧江水系
尺蠖蛾	界	动物界
柠檬黄蜡伞	中文学名	柠檬黄蜡伞
癌细胞	英文名称	Cancer cells
十斑吉丁虫	目	鞘翅目
艳红卷管螺	界	动物界
短瓣兰	门	被子植物门
紫罗兰花茶	中文学名	紫罗兰
叉唇石斛	拉丁学名	Dendrobium stuposum Lindl.
白斑角鲨	分类等级	种
兰州鲶	科	鲶科
银杏珠天蚕蛾	分布区域	华南
南天麻	属	天麻属
短距舌唇兰	命名者及年代	Hayata, 1911
黄地匙菌	中文学名	黄地匙菌
盾叶铁线莲	门	被子植物门 Angiospermae
飞蝇蟹守螺	目	中腹足目
若尔盖毛茛	中文学名	若尔盖毛茛
银甘茶	用途	肺癌
苏瓣石斛	界	植物界
弧菌属	特点	无芽胞，无荚膜
黑白林鵖	拉丁学名	Saxicola jerdoni
光樟肖叶甲	亚门	六足亚门
图书变种D	中文名	图书变种D
贝氏高原鳅	目	鲤形目
潺槁树	族	木姜子族
长根鬼伞	科	鬼伞科
钝吻鲑	分布区域	欧洲
红宝石卷管螺	门	软体动物门
狭叶白蝶兰	属	白蝶兰属
镰苞鹅耳枥	分布区域	中国特有物种，分布在四川省。
白斑黑石鵖	属	石鵖属（石䳭属）
兰州鲇	二名法	黄河鲇
锐裂箭头唐松草	纲	双子叶植物纲
宽柄铁线莲	属	铁线莲属
椰心叶甲	拉丁学名	Brontispa longissima (Gestro)
榆钱	分布区域	产于中国东北、华北、西北、华东等地区。
窄叶半枫荷	别称	假棉木（广东），翅子树（海南植物志）
中国鸽子树	种	珙桐种
佛塔卷管螺	纲	腹足纲
古交粗茶	类型	茶叶
果梅	种	果梅
脊鞘粗角跳甲	科	叶甲科
金兰花芭蕉螺	科	骨螺科
黄雀	属	金翅雀属
V_8888	抵御方法	多方位加密手段
密苞鸢尾兰	科	兰科
白腹蓝（姬）鹟	科	鹟科
海阔闪蝶	发现时间	Dalman, 1823
东白春芽茶	中文名	东白春芽茶
兰屿沼兰	科	兰科
土罐茶	使用方式	茶杯里加入适量的开水
尖顶羊肚菌	科	羊肚菌科
矛隼	目	隼形目
珍鱼（黑头鱼科珍鱼属的鱼类）	分布区域	西太平洋和印度洋以及东海冲绳海槽等
细鳞斜颌鲴	中文学名	细鳞斜颌鲴
大蕊野茉莉	纲	双子叶植物纲
黄草地螟	纲	昆虫纲
等节臀萤叶甲	别称	赤杨叶甲
中华鰟鮍	亚门	脊椎动物亚门
灰色芋螺	拉丁学名	Conus clavatus
骨鳞	类别	脊椎动物硬骨鱼类
干细胞	种类	多能干细胞
塞加红唇宝螺	命名者及时间	Schilder 1928
贵族狗寻根记	书名	贵族狗寻根记
白芦笋炒虾仁	主要食材	芹菜
田螺	目	中腹足目
珍妮宝螺	拉丁学名	Cypraea jeaniana
翅梗石斛	纲	单子叶植物纲
红尾鵖	科	鸫科
云南石梓	分布区域	中国云南、东南亚
柠檬草茶	学名	香茅
伊氏石斑鱼	英文名称	Goliath grouper
紫黑刺座孢	界	植物界
委内瑞拉游动单孢菌	中文学名	委内瑞拉游动单孢菌
肉狗	科	犬科
短滨螺	界	动物界
厚叶厚皮香	界	植物界
脱顶小马勃	目	马勃目
短距乌头	拉丁学名	Aconitum brevicalcaratum (Finet & Gagnep.) Diels
鹅白毛兰	拉丁学名	Eria stricta Lindl.
口盖花蜘蛛兰	族	万代兰族
黄刺蛾	种	黄刺蛾
猕猴桃（水果）	别称	野梨
粘盖环锈伞	种	粘盖环锈伞
小花阔蕊兰	目	微子目
纹猫	别称	云猫
樟齿胸肖叶甲	中文学名	樟齿胸肖叶甲
光臀八齿小蠹	总科	象甲总科
剑叶鸢尾兰	属	鸢尾兰属
平盖靴耳	分布区域	广东
台湾银莲花	亚科	毛茛亚科
Win32.Troj.Autorun.go.15173	中文名	Win32.Troj.Autorun.go.15173
阳刚芋螺	中文学名	阳刚芋螺
毛鞭炭角菌	纲	子囊菌纲
金枝国槐	科	豆科
Win32.Troj.Popwin.am.17960	病毒类型	木马程序
看麦娘腥黑粉菌	科	柄锈科
蓝翅八色鸫	命名者及年代	Linnaeus, 1766
高砂房须红天牛	中文学名	高砂房须红天牛
豹纹陆龟	目	龟鳖目
东方斑鵖	命名者及年代	Blyth,1847
腊穆那链霉菌	孢子丝	2—3圈松敞螺旋形
棕颈钩嘴鹛台湾亚种	属	钩嘴鹛属
广西茶	分布区域	中国广西、云南
枳树	拉丁学名	Poncirustrifoliata(L.) Raf.
路雪苔蛾	亚科	苔蛾亚科
看图识字三字歌（蔬菜）	出版时间	2001年02月01日
藤黄诺卡氏菌	中文学名	藤黄诺卡氏菌
所罗门芋螺	螺壳尺寸	25 - 40 mm
客来夜蛾	科	夜蛾科
锈毛铁线莲	拉丁学名	ClematisleschenaultianaDC.
菜花（蔬菜）	中文学名	花椰菜
大瓣毛茛	分布区域	云南西北部、四川西北部。
紫纹兜兰	别称	香港拖鞋兰
小叶榉	亚纲	原始花被亚纲 Archichlamydeae
豹纹陆龟	纲	爬行纲
凤尾鱼（小型经济鱼类之一）	属	鲚属
杜鹃（杜鹃花科植物）	属	杜鹃属
台湾美冠兰	亚科	兰亚科
雷波乌头	科	毛茛科
黄桃（蔷薇科桃属水果）	属	桃属
黑王子（植物物种）	门	被子植物门 Magnoliophyta
甘蓝黄叶病	别称	蓝黄蔫病
察隅冷杉	分布区域	西藏
阳刚芋螺	拉丁学名	Conus purpuratus
珠丝盘革菌	界	细菌界
黄眼草科	亚目	帚灯草亚目 Subordo Enantioblastae
节茎石仙桃	界	植物界
俄罗斯红叶李	亚纲	蔷薇亚纲
云南厚皮香	纲	双子叶植物纲
毛果高乌头	界	植物界
文鸟	种	文鸟
草狗	种	灰狼
鹅白毛兰	属	毛兰属
金青（雀形目燕雀科动物）	纲	鸟纲
香亚环乳菇	科	红菇科
斜带髭鲷	属	髭鲷属
山桂	分布区域	云南等省区有分布
白菜（十字花科蔬菜）	亚纲	原始花被亚纲
白多孔菌	科	多孔菌科
若尔盖毛茛	界	植物界
结瘤蛹笔螺	目	新腹足目
黄雀	分布区域	东北
白鹭（白鹭属鸟类的统称）	亚科	鹭亚科
绿花斑叶兰	命名者及年代	Bl., 1858
拉步甲	亚纲	有翅亚纲
十姐妹（鸟）	中文学名	十姐妹鸟
光柱铁线莲	命名者及年代	Hand.-Mazz..1939
扁果草	科	毛茛科
云叶兰	纲	单子叶植物纲
越南栲	中文学名	越南栲
地图鱼	分布区域	南美洲的圭亚那、委内瑞拉、巴西的亚马逊河流域。
蓝燕（雀形目燕科鸟类）	亚门	脊椎动物亚门
绿竹虎天牛	目	鞘翅目
斑腰单孔鲀	种	斑腰单孔鲀
中唇弓鱼	科	鲤科
大通翠雀花	亚科	金莲花亚科
笑翠鸟属	界	动物界
灯笼法螺	同义学名	Gelagna succincta
奥氏蜜环菌	拉丁学名	Armillaria solidipes
拟步甲	目	鞘翅目
米克列海蛳螺	界	动物界
云叶兰	科	兰科
蓝雀（鱼类）	拉丁学名	Cynotilapia axelrodi
绿翅鸭	中文学名	绿翅鸭
似褐足角胸肖叶甲	亚门	六足亚门
同色兜兰	亚科	杓兰亚科
红灯（水果名）	中文学名	樱桃
高粱球腔菌	拉丁学名	Mycosphaerella holci
网络神偷	中文名	网络神偷
女皇凤凰螺	属	凤凰螺属
大毒滑锈伞	分布区域	吉林
细天麻	界	植物界
缀叶丛螟	分布区域	台湾
川鄂新樟	目	樟目
薄荷冰柠檬红茶	配料	蜂蜜2大勺、柠檬2片
矮樱	界	植物界
覆盆子	别名	乌藨子
帝王笔螺	科	笔螺科
鲟龙鱼	纲	硬骨鱼纲
长喙唐松草	命名者及年代	Franch., 1890
滇石栎	目	山毛榉目
毛叶钝萼铁线莲	科	毛茛科
灵龙（侏罗纪中期恐龙）	食物	植食
眉须鳞头鮋	纲	硬骨鱼纲
布朗钟螺	目	原始腹足目
芝麻宝螺	科	宝螺科
肉狗	纲	哺乳纲
曼氏鸟尾蛤	目	帘蛤目
平背天蛾	中文学名	平背天蛾
织布鸟属	目	雀形目
垦丁小灰蝶	亚纲	有翅亚纲
法兰德斯畜牧犬	目	食肉目
甘薯天蛾	别称	旋花天蛾
杜父鱼科	亚纲	辐鳍亚纲
Backdoor/Revell.150	影响平台	Win9X/2000/XP/NT
伊犁乌头	亚属	乌头亚属乌头组
微毛爪哇唐松草	门	被子植物门
金黄鹂	目	雀形目
夜鹭（鹭科夜鹭属鸟类）	别称	夜鹤
斑锈天牛	分布区域	成虫出现于至月生活在低海拔山区南部地区数量颇多
茴香饺子	佐料	生抽
Win32.Troj.Cmjspy	威胁级别	★★
紫甘蓝苹果沙拉	中文名	紫甘蓝苹果沙拉
大鸨	中文名	大鸨
垂槐	属	槐属
小樱外囊菌	科	外子囊科
川鄂獐耳细辛	门	被子植物门
画眉海南亚种	定名人及年代	1903
闺秀芋螺	界	动物界
矮小草菇	分布区域	青海
admxprox.dll	外文名称	admxprox.dll
飘带兜兰	目	微子目
安哥洛卡象龟	亚科	龟亚科
大杯香菇	分布区域	浙江等热带及亚热带。
二叶舌唇兰	种	二叶舌唇兰
青杨天牛	门	节肢动物门 Arthropoda
中黄粗角跳甲	科	叶甲科
云南核果茶	目	侧膜胎座目
等叶花葶乌头	亚科	铁筷子亚科
灰鹡鸰亚速尔亚种	科	鹡鸰科
柱状黄杆菌	外文名称	Flavobacterium cloumnare
黑广肩步行虫	科	步行虫科
中纹禾夜蛾	中文学名	中纹禾夜蛾
沼兰	纲	单子叶植物纲
高砂锈叩头虫	界	动物界
橙斑刺尾鱼	亚纲	辐鳍亚纲
茶长卷叶蛾	分布区域	台湾
开心果树	别称	阿月浑子
北非雪松	科	松科
极美姬花天牛	中文学名	极美姬花天牛
勒氏弯嘴嘲鸫	门	脊索动物门
厚重峨螺	命名时间	Linnaeus, 1758
wmiprvse.exe病毒	定义	一个程序
黛比（多肉植物）	亚纲	原始花被亚纲
台湾琉璃豆金龟	目	鞘翅目
海蓝纹夜蛾	中文学名	海蓝纹夜蛾
撒旦鸭嘴	属	短平口鲶属Brachyplatystoma
灰喜鹊（灰喜鹊）	属	灰喜鹊属
金翅雀（雀科类动物）	界	动物界
日本狼青犬	亚纲	真兽亚纲(Eutheria)
黄毛铁线莲	纲	双子叶植物纲
恶性叶甲	天敌	瓢虫
斜纹夜蛾	属	斜纹夜蛾属
似褐足角胸肖叶甲	中文学名	似褐足角胸肖叶甲
名和蝉寄蛾	中文学名	名和蝉寄蛾
粗柄铁线莲	门	被子植物门
灰背岸八哥	亚纲	今鸟亚纲
菠菜花叶病	中文名	菠菜花叶病
南方波缘正尺蛾	中文学名	南方波缘正尺蛾
虎眼木	目	无患子目
紫花碧江乌头	拉丁学名	Aconitum tsaii W. T. Wang var. tsaii f. purpureum W.T.Wang
赭污灯蛾	界	动物界
灰林鵖	拉丁学名	Saxicola ferreus
凹缘舟蛾	中文学名	凹缘舟蛾
吊丝虫	别称	小菜蛾
乳杆菌	英文名称	Lactobacillaceae
雪莲（景天科石莲花属多肉植物）	二名法	Echeveria laui
红豆杉（中国特有树种）	命名者及年代	(Pilger) Rehd., 1919
芦莺	界	动物界
西猴绢蝶巴颜亚种	亚纲	有翅亚纲
拟康定乌头	中文学名	拟康定乌头
酸梅	亚纲	原始花被亚纲
云南凹脉柃	目	芸香目
棕角胸叶甲	亚目	肉食亚目
乌饭子	拉丁学名	Vaccinium bracteatum Thunb.
桔斑幅尺蛾	中文学名	桔斑幅尺蛾
矩鳞油杉	拉丁学名	Keteleeria oblonga Cheng et L. K. Fu.
狭裂太行铁线莲	亚纲	原始花被亚纲
念珠菌	长度	小于1毫米的十五分之一
亚太波纹蛾指名亚种	拉丁学名	Tetheasubampliatasubampliata （Houlbert，1921）
高山鸟巢兰	门	被子植物门
栉虾虎鱼	别称	爬爬鱼，庐山石鱼、春鱼、黄棒
密脉石栎	目	山毛榉目
沙兰杨	属	杨属
锦晃星	科	景天科
金毛铁线莲	科	毛茛科
杨雪毒蛾	属	雪毒蛾属
叠珠树科	中文学名	叠珠树科
广布芋兰	别称	脉叶兰
淡灰大尺蛾	中文学名	淡灰大尺蛾
疏刻角胸肖叶甲	目	鞘翅目
白桦（落叶类乔木植物）	别称	桦树
宽苞乌头	中文学名	宽苞乌头
鸢尾兰	种	鸢尾兰
小叶榉	分布区域	中国甘肃、陕西、四川等地
白尾热带鸟台湾亚种	亚种	白尾热带鸟台湾亚种
帝王笔螺	界	动物界
巨蜂鸟	属	巨蜂鸟属
钻天柳	拉丁学名	Chosenia arbutifolia (Pall.) A. Skv
广西密花树	拉丁学名	RapaneakwangsiensisWalker
潺槁树	别称	青胶木
滇南盆距兰	属	盆距兰属
竹象鼻虫	分布区域	福建
绿长脚金龟	目	鞘翅目
台湾棋石小灰蝶	中文学名	台湾棋石小灰蝶
彩艳猿金花虫	中文学名	彩艳猿金花虫
菟丝五味茶	原料	五味子3g
白胸苦恶鸟指名亚种	属	苦恶鸟属
魟（鱼类）	读音	hóng
黑暮尺蛾	门	节肢动物门
威玛猎犬	别称	德国魏玛犬
光梗鸭绿乌头	亚属	乌头亚属
塔星螺	界	动物界
波带白钩蛾	亚纲	有翅亚纲
芹叶铁线莲	分布区域	山西
白杨枯叶蛾	纲	昆虫纲 Insecta
e美尔减肥茶	注意事项	适量饮用，孕妇和哺乳期不宜饮用
文旦（芸香科常绿乔木植物）	分布区域	东南亚及中国大陆的长江以南
泛尺蛾	界	动物界
染弥尺蛾	亚纲	有翅亚纲
华石斛	科	兰科
乳酸菌	属	片球菌属
紫毛兜兰	纲	单子叶植物纲
织布鸟属	中文学名	织布鸟属
塞加红唇宝螺	科	宝螺科
白肋翻唇兰	科	兰科
胡萝卜鸡肉蒸饺	主要食用功效	山芋，土豆等可提高人体的御寒能力。
草狗	发源地	中国的西南、西藏地区
色情终结者	类型	脚本病毒
嗜热分支杆菌属	栖息地	人为产生的热环境 地热环境
资中塔罗科血橙	界	植物界
盾皮鱼	目	胴甲鱼目
翡翠属	属	翡翠属
地中海链霉菌	纲	放线菌纲
小燕子（燕科鸟类）	属	石燕属
大屯姬深山锹形虫	种	大屯姬深山锹形虫
三斗石栎	种	三斗石栎
格陵兰鲨	属	睡鲨属
尖囊兰	命名者及年代	Seidenf.,
大苞木荷	族	大头茶族
狭叶山兰	纲	单子叶植物纲
藤槭	中文学名	藤槭
竹黄	中文学名	竹黄
尾丝钻柱兰	科	兰科
大毒滑锈伞	中文学名	大毒滑锈伞
红嘴鸥	亚纲	今鸟亚纲
甜菜螟	目	鳞翅目
荷叶丝膜菌	目	伞菌目
豹猫（猫科动物）	别称	狸猫
墨脱乌头	属	乌头属
绿盖粉孢牛肝菌	中文学名	绿盖粉孢牛肝菌
重启虫	依赖系统	2000
信天翁属	中文学名	信天翁属
赤点石斑鱼	界	动物界
双斑草雀	目	雀形目
大牙土天牛	界	动物界
沃格特鳄龙	拉丁学名	Walgettosuchus
假毒麦苔草柄锈菌	中文学名	假毒麦苔草柄锈菌
武昌鱼	种	团头鲂
云南厚皮香	拉丁学名	Ternstroemia yunnanensis L. K. Ling
椆琼楠	中文学名	椆琼楠
广布芋兰	科	兰科
大黄鱼（鱼类的一种）	命名者及年代	1846
红天蛾	分布区域	云南
海洋诺卡氏菌	属性	不抗酸
芭蕉茶	芭蕉茶的历史	唐代陆羽《茶经》
雪鸮	纲	鸟纲
十二星食植瓢虫	中文学名	十二星食植瓢虫
密叶唐松草	中文学名	密叶唐松草
蟒（爬行动物）	亚科	蟒亚科
四腺翻唇兰	中文学名	四腺翻唇兰
莓叶铁线莲	亚纲	原始花被亚纲
清柠荷瘦身茶	中文名	清柠荷瘦身茶
管叶槽舌兰	种	管叶槽舌兰
杜英（杜英属常绿乔木植物）	别称	橄榄
玫瑰香红茶	主要原料	桂花
白斑黑石鵖	拉丁学名	Saxicola caprata
鸡血藤伞锈菌	科	柄锈科，
南水青蟹	中文学名	南水青蟹
黄空柄牛肝菌	纲	同担子菌纲
西猴绢蝶巴颜亚种	属	绢蝶属
枣叶翅果麻	属	翅果麻属
莱卡（世界第一只太空狗）	职业	苏联太空狗
欧洲鲽	中文学名	欧洲鲽
黑痣凤凰螺	科	凤凰螺科
佛手（芸香科植物）	别称	五指香橼
小猿叶甲	分布区域	辽宁、内蒙古，广东、广西、云南，河北、山西、陕西四川、云南。
川甘翠雀花	族	翠雀族
干香柏	别称	干柏杉
白[金+舌]囊蘑	中文学名	白[金+舌]囊蘑
细胞毒性T淋巴细胞	简介	白细胞的亚部
巴西红耳龟	亚纲	龟鳖亚纲（Testudinata）
葡萄（水果）	毒性	无毒
褐毛铁线莲	科	毛茛科
古北宝螺	命名时间	Massier 1994
直带长角蛾	门	脊索动物门
厚嘴绿鸠	中文学名	厚嘴绿鸠
梦幻闪蝶指名亚种	分布区域	巴西
铜绿金花天牛	拉丁学名	Gaurotes aeneovirens（Holzschuh,1993）
巴拉斯特海蛳螺	拉丁学名	Epitonium bellastriatum，Asperiscala bellastriatum
毛叶杯状栲	二名法	Castanopsiscerebrina
大卫（景天科多肉植物）	二名法	Crassula lanuginose
西藏白皮松	目	松柏目
白梅茶	引种时间	1980年03月14日
黑麦螺	科	麦螺科
金波子	原产地	委内瑞拉
袋形地星	分布区域	贵州
帽带企鹅	别称	警官企鹅
皱叶铁线莲	中文学名	皱叶铁线莲
云叶兰	别称	鸡冠云叶兰
船苞翠雀花	亚科	金莲花亚科
婺绿	中文名	婺绿
原生主教芋螺	定名人及时间	Delsaerdt, A., 1988
缅甸陆龟	界	动物界
格陵兰鲨	亚门	脊椎动物亚门
粗毛黄褐孔菌	种	粗毛黄褐孔菌
红嘴鸥	界	动物界
猎户座（多肉植物）	界	植物界
楼兰茶	主要食用功效	抗办公室辐射，改善亚健康，平衡高血压及低血压，改善睡眠
白鱼	亚科	鲌亚科
黄凯蒂宝螺	螺壳尺寸	41 - 60 mm
翠鸟属	亚门	脊椎动物亚门
小黄鱼	英文名称	Little Yellow Croaker
始祖鸟（已灭绝的羽毛恐龙）	外文名称	archaeopteryx
葱叶兰	族	鸟巢兰族
黑边公子小丑	属	双锯鱼属
芎藭葱白茶	用法	芋叶合苔劳
甘薯天蛾	拉丁学名	Agrius convolvuli
绒叶斑叶兰	属	斑叶兰属
短梗山兰	种	短梗山兰
板龙（早期恐龙）	分布区域	法国、瑞士和德国境内
火蜥蜴（爬行动物）	中文名	火蜥蜴
奥氏蜜环菌	分布区域	欧洲
西莫尼斯芋螺	目	新腹足目
银杏超小卷叶蛾	分布区域	安徽
奇莱红门兰	拉丁学名	Orchis kiraishiensis Hayata
黑边公子小丑	分布区域	印度-太平洋，红海，北至日本南部，南至澳洲悉尼等
梁龙（梁龙科的一属恐龙）	亚门	脊椎动物亚门
花葶乌闲	界	植物界
辐射夜蛾	拉丁学名	Apsarasa radians Westwood
灰胸薮鹛	拉丁学名	Liocichla omeiensis
翡翠属	目	突胸总目佛法僧目
小叶栲	科	壳斗科
棱喙毛茛	族	毛茛族
飓风芋螺	门	软体动物门
双叶厚唇兰	命名者及年代	Summerh., 1957
大武斑叶兰	亚科	兰亚科
菊花乌龙茶	功效	保护视力
宽唇盆距兰	门	被子植物门
剑龙（侏罗纪晚期食草性四足恐龙）	拉丁学名	Stegosaurus
芋头卷管螺	科	卷管螺科
环棘鞭蛇尾	纲	蛇尾纲
密花毛兰	科	兰科
八代天麻	别称	八代赤箭
冠纹柳莺华南亚种	科	鶲科
黑千手螺	科	骨螺科
松针毒蛾	门	节肢动物
紫纹兜兰	中文学名	紫纹兜兰
小叶榉	繁殖培育	播种育苗、扦插育苗、嫁接育苗
宽叶耳唇兰	别称	耳唇
中唇弓鱼	中文学名	中唇弓鱼
斑叫鸮	界	动物界
松林假牛肝菌	分布	辽宁
棕丝单囊壳	拉丁名	Sphaerotheca fusca
孔夫子锯锹	界	动物界
海带酥肉汤	副作用	无
芦卡亚芋螺	纲	腹足纲
锈毛铁线莲	族	银莲花族
菜花（蔬菜）	分布区域	中国，原地中海沿岸
乌饭子	目	杜鹃花目
家鸽	亚科	亚鸠鸽科
迷你雪纳瑞犬（雪纳瑞犬品种）	中文学名	迷你雪纳瑞犬
云铜普洱茶	中文名	云铜普洱茶
九头鸟（传说的鸟类）	来源	《山海经》
绿脐钟螺	纲	腹足纲
中华倒刺鲃	纲	硬骨鱼纲
棕丝单囊壳	中文学名	棕丝单囊壳
南方波缘正尺蛾	亚门	有颚亚门
秀丽斑叶兰	中文学名	秀丽斑叶兰
极薄多孔菌	中文名	极薄多孔菌
尚道茶	主体含义	尊崇
宝石花（多肉植物的统称）	科	景天科
乌饭子	科	杜鹃花科
黄绒毛兰	目	微子目
金色葡萄球菌	纲	杆菌纲 Bacilli
黑皮油松	目	松杉目
厚环粘盖牛肝菌	别称	厚环粘盖牛肝
长毛猿金花虫	种	黑足后缘肖叶甲
番茄丛矮病毒病	拉丁学名	Tomato bushy stunt virus简称ToBSV
台湾阔蕊兰	目	微子目
赭腹霸鹟	命名时间	Lichtenstein, 1823
红土盘菌	纲	子囊菌纲
粗点隐盾叶甲	门	节肢动物门
Worm.Warezov.fe	中文名	神器祭坛
拉维尺蛾	界	动物界
凡俗峨螺	命名时间	Conrad, 1846
尼罗罗非鱼	界	动物界
短尾高原鳅	中文学名	短尾高原鳅
铜鱼（铜鱼属鲤形目）	中文学名	铜鱼
大孢黑球腔菌	纲	子囊菌纲
雪花芋螺	目	新腹足目
球花石斛	属	石斛属
佛鳄龟	纲	爬行纲
雷波毛茛	门	被子植物门
黑平肩肖叶甲	目	鞘翅目
覆盆子	变种	华北复盆子
震纹芋螺	属	芋螺属
沙弥绶尺蛾	界	动物界
台湾蓝鹊（台湾特有鸟类）	命名者及年代	1863
哈里斯黄宝螺	中文学名	哈里斯黄宝螺
法国斗牛犬	科	犬科
Rootkit.StartPage.aj	病毒名称	病毒名称
粗毛黄褐孔菌	分布区域	山东
金昌鱼	亚属	鲳鲹属
湖北鹅耳枥（原变种）	纲	双子叶植物纲
榔榆	科	榆科
香岩梧桐	界	植物界
线斑土苔蛾	科	灯蛾科
特南氏沟臀肖叶甲	纲	昆虫纲
朝氏薄翅金花虫	中文学名	朝氏薄翅金花虫
椆琼楠	拉丁学名	Beilschmiedia roxburghiana Nees
雾社乌龙茶	时间	0060年
莱姆伯芋螺	科	芋螺科
狭叶白蝶兰	门	被子植物门
亚东乌头	门	被子植物门
陕西铁线莲	门	被子植物门
灯笼法螺	目	异足目
高砂姬花天牛	属	驼花天牛属
台湾阔蕊兰	别称	触须兰
淡水鳗	纲	硬骨鱼纲
红假单胞菌属	模式种	沼泽红假单胞菌
威金病毒	系统	WIN9X
棘蟹守螺	拉丁学名	Cerithium echinatus
惠明茶	主要食用功效	提高免疫力
槐（豆科槐属乔木）	纲	双子叶植物纲
魟（鱼类）	属	魟属
五唇兰	命名者及年代	Lindl.， 1833
短距舌唇兰	中文学名	短距舌唇兰
vanilla（植物香草）	属	香荚兰属
印茄	分布区域	东南亚及太平洋群岛
蝙蝠（翼手目哺乳动物）	目	翼手目
川滇冷杉	拉丁学名	AbiesforrestiiColtm.-Rog.
弯枝乌头	亚纲	原始花被亚纲
银杏珠天蚕蛾	中文学名	银杏珠天蚕蛾
粗毛黄褐孔菌	纲	层菌纲Hymenomycetes
极美姬花天牛	目	鞘翅目
长斑裳凤蝶指名亚种	目	鳞翅目
短嘴海兔螺	目	中腹足目
齿瓣鸢尾兰	门	被子植物门
膨宽缘萤叶甲	界	动物界
十斑大瓢虫	发现人	Fabricius
长齿乌头	种	长齿乌头
大西洋鲑鱼	别称	安大略鲑
椎天牛	目	鞘翅目
河西园茶	类别	绿茶
石膏山乌头	分布区域	云南中甸哈巴山
扇内斑舟蛾	分布区域	四川
Win32.Troj.QQMsgBook.cf	外文名	Win32.Troj.QQMsgBook.cf
硬皮马勃	种	光硬皮马勃
